hour;Q5;Q10;Q25;Q50;Q75;Q90;Q95;mean
00:00;0.06;0.086;0.138;0.214;0.385;0.991;2.4430999999999985;0.49545543260433916
01:00;0.061;0.084;0.139;0.216;0.403;1.08;2.720399999999998;0.5248693392489304
02:00;0.06;0.085;0.135;0.219;0.407;1.3528000000000284;2.7947999999999955;0.5509062529711913
03:00;0.062;0.091;0.139;0.225;0.479;1.485;2.78525;0.5762060494958754
04:00;0.06;0.096;0.15;0.245;0.499;1.6716000000000022;2.896;0.589455683176205
05:00;0.065;0.1;0.153;0.248;0.542;1.761000000000029;3.3105;0.6921835391746896
06:00;0.062;0.098;0.154;0.259;0.609;2.339;3.592;0.7836090249389992
07:00;0.061;0.101;0.159;0.263;0.69975;2.5739000000000014;4.005599999999991;0.8465379228284888
08:00;0.063;0.099;0.16;0.27;0.6995;2.3285;3.771;0.7983063397015493
09:00;0.064;0.11;0.164;0.283;0.8;2.631;3.7838999999999943;0.8601825064943294
10:00;0.066;0.112;0.17;0.305;0.787;2.312;3.497;0.831977761586467
11:00;0.066;0.109;0.165;0.277;0.802;2.531;3.5800499999999995;0.845917480294528
12:00;0.069;0.113;0.155;0.266;0.725;2.291;3.482;0.8142242686575837
13:00;0.066;0.106;0.151;0.262;0.718;1.9799000000000015;3.331;0.7055439467008614
14:00;0.067;0.109;0.155;0.275;0.709;2.078;3.1597999999999886;0.7375183120503014
15:00;0.066;0.111;0.165;0.292;0.783;2.225;3.44;0.8022819781573063
16:00;0.084;0.117;0.18;0.347;0.891;2.613;3.584;0.9002416374951381
17:00;0.068;0.111;0.186;0.363;0.882;2.5354000000000014;3.851;0.9254469822450818
18:00;0.086;0.121;0.198;0.363;0.7835000000000001;2.5743000000000027;3.7521499999999977;0.8505894158993871
19:00;0.074;0.127;0.218;0.381;0.78;2.545;3.724;0.8436263659687688
20:00;0.082;0.127;0.199;0.353;0.695;2.155;3.39;0.7780702632495962
21:00;0.067;0.104;0.171;0.295;0.564;1.953;2.985;0.6838329118028534
22:00;0.063;0.092;0.153;0.262;0.512;1.458;2.456;0.5534885621950446
23:00;0.066;0.092;0.144;0.226;0.422;1.045;2.287;0.5022166555756251
