hour;Q5;Q10;Q25;Q50;Q75;Q90;Q95;mean
00:00;0.107;0.136;0.204;0.555;2.456;3.936;4.631;1.5500665582319986
01:00;0.109;0.134;0.201;0.617;2.436;3.899;4.766;1.5183749193319394
02:00;0.108;0.139;0.209;0.548;2.389;3.673;4.739;1.4971715644733605
03:00;0.108;0.136;0.213;1.093;2.478;3.756;4.780799999999989;1.6472326176596046
04:00;0.11;0.142;0.232;1.545;2.619;3.852;4.877;1.69772984715649
05:00;0.123;0.164;0.308;1.826;2.9485;4.22;5.411;2.0188336326836986
06:00;0.157;0.211;0.451;2.036;3.183;4.876;5.929;2.2411453000616475
07:00;0.132;0.174;0.335;1.856;3.04325;4.646;5.755699999999997;2.1382977257994815
08:00;0.122;0.159;0.268;0.979;2.607;4.36;5.420199999999997;1.73969705299326
09:00;0.098;0.133;0.208;0.423;2.35;3.734;5.085;1.4166783351635108
10:00;0.094;0.134;0.209;0.428;2.246;3.817;5.274;1.381570609948117
11:00;0.106;0.136;0.231;0.446;2.217;3.505;4.752150000000001;1.302172733608535
12:00;0.102;0.139;0.217;0.394;2.1;3.5117000000000043;4.883;1.2667090705242146
13:00;0.097;0.133;0.207;0.377;2.024;3.4219999999999997;4.877;1.20130123264495
14:00;0.094;0.132;0.207;0.389;2.073;3.424;4.663;1.249071497506836
15:00;0.114;0.146;0.233;0.493;2.335;3.726600000000006;4.921;1.3641240184363264
16:00;0.155;0.213;0.368;1.102;2.869;4.58;5.663049999999996;1.8925037467462467
17:00;0.213;0.321;0.557;1.87;3.267;4.958099999999999;5.911;2.261342262623012
18:00;0.231;0.318;0.543;1.878;3.245;5.035;5.967;2.2769266985645933
19:00;0.207;0.294;0.466;1.451;3.006;4.687;5.597549999999996;1.9961507785490311
20:00;0.192;0.249;0.406;1.18;2.682;4.1933000000000025;5.2035;1.7458068571734935
21:00;0.153;0.199;0.311;0.655;2.4444999999999997;3.883;5.023;1.5550498899077456
22:00;0.119;0.157;0.25;0.507;2.383;3.539;4.666;1.4204755087267755
23:00;0.109;0.138;0.205;0.44;2.39;3.6186000000000025;4.349449999999997;1.400560522364046
